timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860390948402743	1955158624	0	1	10.0.1.1	1
1774860390955429361	1870314309	0	1	10.0.1.1	1
1774860390955744360	2082966362	0	1	10.0.1.1	1
1774860390955988579	1678312776	0	1	10.0.1.1	1
1774860390956197631	1338439372	0	1	10.0.1.1	1
1774860390968141944	853588939	0	1	10.0.1.1	1
1774860390970158059	705589223	0	1	10.0.1.1	1
1774860390978297212	1047859235	0	1	10.0.1.1	1
1774860390983888734	1161823047	0	1	10.0.1.1	1
1774860390985425685	617141710	0	1	10.0.1.1	1
1774860390988418998	643098500	0	1	10.0.1.1	1
1774860390994305189	769794169	0	1	10.0.1.1	1
1774860390994959689	1464155146	0	1	10.0.1.1	1
1774860390995768156	1308873641	0	1	10.0.1.1	1
1774860390996745685	821507630	0	1	10.0.1.1	1
1774860391000580674	986920129	0	1	10.0.1.1	1
1774860391006057453	172475835	0	3	10.0.1.3	1
1774860391007116292	1448171685	0	3	10.0.1.3	1
1774860391014433123	1511594041	0	3	10.0.1.3	1
1774860391015193158	357265650	0	3	10.0.1.3	1
1774860391015745483	62163760	0	3	10.0.1.3	1
1774860391016387355	120515122	0	3	10.0.1.3	1
1774860391017209308	524410000	0	3	10.0.1.3	1
1774860391018745436	1467020342	0	3	10.0.1.3	1
1774860391019318841	498620881	0	3	10.0.1.3	1
1774860391020529760	32958717	0	5	10.0.1.5	1
1774860391022910980	160692447	0	5	10.0.1.5	1
1774860391024049415	569132089	0	5	10.0.1.5	1
1774860391026309236	2048999174	0	5	10.0.1.5	1
1774860391027638676	1905760050	0	5	10.0.1.5	1
1774860391030262204	1325984103	0	5	10.0.1.5	1
1774860391032131818	504165263	0	5	10.0.1.5	1
1774860391033813620	194088143	0	8	10.0.1.8	1
1774860391035176713	1632881477	0	8	10.0.1.8	1
1774860391035967746	488523065	0	5	10.0.1.5	1
1774860391037795350	215837656	0	8	10.0.1.8	1
1774860391040536456	924892836	0	8	10.0.1.8	1
1774860391044104108	884874386	0	5	10.0.1.5	1
1774860391048185047	386669227	0	5	10.0.1.5	1
1774860391049797769	1068732279	0	8	10.0.1.8	1
1774860391050292160	375958582	0	5	10.0.1.5	1
1774860391060327080	1145945195	0	4	10.0.1.4	1
1774860391062106122	2100964273	0	4	10.0.1.4	1
1774860391063398030	696589296	0	4	10.0.1.4	1
1774860391071873041	1346040980	0	9	10.0.1.9	1
1774860391077747740	1369889763	0	9	10.0.1.9	1
1774860391097190992	214129242	0	2	10.0.1.2	1
1774860391108346271	1955158624	1	1	10.0.1.1	1
1774860391108947380	1870314309	1	1	10.0.1.1	1
1774860391109251028	2082966362	1	1	10.0.1.1	1
1774860391109526726	1678312776	1	1	10.0.1.1	1
1774860391111000892	309571400	0	6	10.0.1.6	1
1774860391111413158	1338439372	1	1	10.0.1.1	1
1774860391112710604	853588939	1	1	10.0.1.1	1
1774860391121525121	705589223	1	1	10.0.1.1	1
1774860391122925249	1047859235	1	1	10.0.1.1	1
1774860391123569681	1161823047	1	1	10.0.1.1	1
1774860391125080291	617141710	1	1	10.0.1.1	1
1774860391125299238	643098500	1	1	10.0.1.1	1
1774860391126245756	1469736883	0	6	10.0.1.6	1
1774860391126668909	769794169	1	1	10.0.1.1	1
1774860391127361143	1464155146	1	1	10.0.1.1	1
1774860391127982917	1308873641	1	1	10.0.1.1	1
1774860391128678889	821507630	1	1	10.0.1.1	1
1774860391130728108	986920129	1	1	10.0.1.1	1
1774860391135888633	172475835	1	3	10.0.1.3	1
1774860391136635793	1448171685	1	3	10.0.1.3	1
1774860391139024029	1511594041	1	3	10.0.1.3	1
1774860391139388732	357265650	1	3	10.0.1.3	1
1774860391139899134	62163760	1	3	10.0.1.3	1
1774860391140224801	120515122	1	3	10.0.1.3	1
1774860391140438968	524410000	1	3	10.0.1.3	1
1774860391141394923	1467020342	1	3	10.0.1.3	1
1774860391142108260	498620881	1	3	10.0.1.3	1
1774860391146086430	194088143	1	8	10.0.1.8	1
1774860391146417072	1632881477	1	8	10.0.1.8	1
1774860391147123120	215837656	1	8	10.0.1.8	1
1774860391149274434	924892836	1	8	10.0.1.8	1
1774860391151963782	1068732279	1	8	10.0.1.8	1
1774860391153374325	32958717	1	5	10.0.1.5	1
1774860391155089574	160692447	1	5	10.0.1.5	1
1774860391156022902	569132089	1	5	10.0.1.5	1
1774860391157396949	2048999174	1	5	10.0.1.5	1
1774860391158529264	1905760050	1	5	10.0.1.5	1
1774860391158984178	1325984103	1	5	10.0.1.5	1
1774860391159829189	504165263	1	5	10.0.1.5	1
1774860391160810098	488523065	1	5	10.0.1.5	1
1774860391163874973	884874386	1	5	10.0.1.5	1
1774860391164902308	386669227	1	5	10.0.1.5	1
1774860391165653804	375958582	1	5	10.0.1.5	1
1774860391177859689	1252320409	0	10	10.0.1.10	1
1774860391181207750	1145945195	1	4	10.0.1.4	1
1774860391183154462	2100964273	1	4	10.0.1.4	1
1774860391184575554	696589296	1	4	10.0.1.4	1
1774860391205091847	1346040980	1	9	10.0.1.9	1
1774860391210937070	1369889763	1	9	10.0.1.9	1
1774860391211186744	214129242	1	2	10.0.1.2	1
1774860391222754581	1955158624	2	1	10.0.1.1	1
1774860391223097626	1870314309	2	1	10.0.1.1	1
1774860391223512524	2082966362	2	1	10.0.1.1	1
1774860391223978116	1678312776	2	1	10.0.1.1	1
1774860391224765662	1338439372	2	1	10.0.1.1	1
1774860391225113759	853588939	2	1	10.0.1.1	1
1774860391226401053	705589223	2	1	10.0.1.1	1
1774860391228381962	1047859235	2	1	10.0.1.1	1
1774860391229223969	1161823047	2	1	10.0.1.1	1
1774860391230406070	617141710	2	1	10.0.1.1	1
1774860391232136913	643098500	2	1	10.0.1.1	1
1774860391234582031	769794169	2	1	10.0.1.1	1
1774860391235262445	1464155146	2	1	10.0.1.1	1
1774860391247448794	1308873641	2	1	10.0.1.1	1
1774860391247664812	821507630	2	1	10.0.1.1	1
1774860391247873655	986920129	2	1	10.0.1.1	1
1774860391248077436	309571400	1	6	10.0.1.6	1
1774860391248271633	1469736883	1	6	10.0.1.6	1
1774860391248680586	172475835	2	3	10.0.1.3	1
1774860391249035032	1448171685	2	3	10.0.1.3	1
1774860391258124601	1511594041	2	3	10.0.1.3	1
1774860391258512922	357265650	2	3	10.0.1.3	1
1774860391258707824	62163760	2	3	10.0.1.3	1
1774860391258926967	120515122	2	3	10.0.1.3	1
1774860391259313282	524410000	2	3	10.0.1.3	1
1774860391259864514	1467020342	2	3	10.0.1.3	1
1774860391260061799	498620881	2	3	10.0.1.3	1
1774860391263701673	194088143	2	8	10.0.1.8	1
1774860391266421067	1632881477	2	8	10.0.1.8	1
1774860391267770744	215837656	2	8	10.0.1.8	1
1774860391269926747	924892836	2	8	10.0.1.8	1
1774860391272114762	1068732279	2	8	10.0.1.8	1
1774860391273428504	32958717	2	5	10.0.1.5	1
1774860391274743758	160692447	2	5	10.0.1.5	1
1774860391275730908	569132089	2	5	10.0.1.5	1
1774860391276891202	2048999174	2	5	10.0.1.5	1
1774860391277768683	1905760050	2	5	10.0.1.5	1
1774860391278016465	1325984103	2	5	10.0.1.5	1
1774860391278755842	504165263	2	5	10.0.1.5	1
1774860391279721591	488523065	2	5	10.0.1.5	1
1774860391282469571	884874386	2	5	10.0.1.5	1
1774860391283308450	386669227	2	5	10.0.1.5	1
1774860391283973108	375958582	2	5	10.0.1.5	1
1774860391290790130	1145945195	2	4	10.0.1.4	1
1774860391293701704	2100964273	2	4	10.0.1.4	1
1774860391296344415	696589296	2	4	10.0.1.4	1
1774860391304380492	1252320409	1	10	10.0.1.10	1
1774860391320454692	1346040980	2	9	10.0.1.9	1
1774860391325979252	1369889763	2	9	10.0.1.9	1
1774860391329042863	214129242	2	2	10.0.1.2	1
1774860391351945525	1955158624	3	1	10.0.1.1	1
1774860391352540982	1870314309	3	1	10.0.1.1	1
1774860391353232094	2082966362	3	1	10.0.1.1	1
1774860391353479159	1678312776	3	1	10.0.1.1	1
1774860391354016027	1338439372	3	1	10.0.1.1	1
1774860391354481983	853588939	3	1	10.0.1.1	1
1774860391355803864	705589223	3	1	10.0.1.1	1
1774860391357670597	1047859235	3	1	10.0.1.1	1
1774860391358330652	1161823047	3	1	10.0.1.1	1
1774860391359308870	617141710	3	1	10.0.1.1	1
1774860391359637161	643098500	3	1	10.0.1.1	1
1774860391360802946	769794169	3	1	10.0.1.1	1
1774860391361238336	1464155146	3	1	10.0.1.1	1
1774860391361722727	1308873641	3	1	10.0.1.1	1
1774860391362099053	821507630	3	1	10.0.1.1	1
1774860391363284971	986920129	3	1	10.0.1.1	1
1774860391364403465	309571400	2	6	10.0.1.6	1
1774860391376460300	1469736883	2	6	10.0.1.6	1
1774860391384522501	172475835	3	3	10.0.1.3	1
