timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1774860635759126208	3027906024	0	3	10.0.1.3	2
1774860635766403336	3155707033	0	3	10.0.1.3	2
1774860635767102766	4228832593	0	3	10.0.1.3	2
1774860635768223597	3778286624	0	3	10.0.1.3	2
1774860635769987091	2224576380	0	3	10.0.1.3	2
1774860635771158172	2294416087	0	3	10.0.1.3	2
1774860635772204761	4125163832	0	3	10.0.1.3	2
1774860635774139051	3508446744	0	3	10.0.1.3	2
1774860635781970663	3362804910	0	3	10.0.1.3	2
1774860635782803499	2512520756	0	3	10.0.1.3	2
1774860635783073868	4107769039	0	3	10.0.1.3	2
1774860635783853767	3137795550	0	3	10.0.1.3	2
1774860635784606190	2692895835	0	3	10.0.1.3	2
1774860635788406827	3698919954	0	5	10.0.1.5	2
1774860635791729546	3553615832	0	5	10.0.1.5	2
1774860635792652788	2874538361	0	1	10.0.1.1	2
1774860635794616778	2478971848	0	5	10.0.1.5	2
1774860635797607670	3542997242	0	1	10.0.1.1	2
1774860635799817010	3128729228	0	6	10.0.1.6	2
1774860635801598417	3976635696	0	1	10.0.1.1	2
1774860635814468640	3977872721	0	1	10.0.1.1	2
1774860635815222550	3992906944	0	1	10.0.1.1	2
1774860635815581120	2963547610	0	8	10.0.1.8	2
1774860635818199680	3690917561	0	8	10.0.1.8	2
1774860635819686379	2827508298	0	1	10.0.1.1	2
1774860635820152694	4289439510	0	8	10.0.1.8	2
1774860635820603208	4020911913	0	1	10.0.1.1	2
1774860635820906389	3751152209	0	8	10.0.1.8	2
1774860635821608433	3635055455	0	6	10.0.1.6	2
1774860635823973576	4021333295	0	8	10.0.1.8	2
1774860635827545226	4087572061	0	1	10.0.1.1	2
1774860635829530015	3857188730	0	1	10.0.1.1	2
1774860635832860339	2358888647	0	6	10.0.1.6	2
1774860635835256799	2246248500	0	5	10.0.1.5	2
1774860635835557985	3100276082	0	6	10.0.1.6	2
1774860635835996738	3849406260	0	8	10.0.1.8	2
1774860635836369519	3478301526	0	1	10.0.1.1	2
1774860635836700601	2777486158	0	5	10.0.1.5	2
1774860635837025053	3637839798	0	6	10.0.1.6	2
1774860635837929353	2664661692	0	1	10.0.1.1	2
1774860635838348828	2952448758	0	5	10.0.1.5	2
1774860635838993442	2317066885	0	8	10.0.1.8	2
1774860635839691485	2460092401	0	5	10.0.1.5	2
1774860635847942024	4017597448	0	5	10.0.1.5	2
1774860635848228936	2695793574	0	6	10.0.1.6	2
1774860635859767502	3276954995	0	9	10.0.1.9	2
1774860635864485968	3502891610	0	9	10.0.1.9	2
1774860635867933534	2454826618	0	9	10.0.1.9	2
1774860635874720189	3079430277	0	2	10.0.1.2	2
1774860635890729126	3288154638	0	4	10.0.1.4	2
1774860635894113836	3027906024	1	3	10.0.1.3	2
1774860635894922462	3155707033	1	3	10.0.1.3	2
1774860635895471067	4228832593	1	3	10.0.1.3	2
