timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1775891909970158532	991584437	0	1	10.0.1.1	1
1775891909970574667	80760956	0	1	10.0.1.1	1
1775891909973495808	791857963	0	1	10.0.1.1	1
1775891909988041400	2098882933	0	1	10.0.1.1	1
1775891909988717994	193910269	0	1	10.0.1.1	1
1775891909988984355	825669839	0	1	10.0.1.1	1
1775891909989203684	2049196483	0	1	10.0.1.1	1
1775891909989817739	1586820853	0	1	10.0.1.1	1
1775891909990121713	88095607	0	1	10.0.1.1	1
1775891909990330839	1952169918	0	1	10.0.1.1	1
1775891909994806408	404241178	0	1	10.0.1.1	1
1775891909999143542	1299240137	0	1	10.0.1.1	1
1775891910000657089	1076678090	0	1	10.0.1.1	1
1775891910004035452	2056693114	0	1	10.0.1.1	1
1775891910004313524	1741537965	0	1	10.0.1.1	1
1775891910005703423	1387547364	0	1	10.0.1.1	1
1775891910006025381	84057081	0	1	10.0.1.1	1
1775891910006429040	1519606039	0	1	10.0.1.1	1
1775891910015085513	1125428655	0	1	10.0.1.1	1
1775891910016345104	781464915	0	1	10.0.1.1	1
1775891910016577980	831970736	0	1	10.0.1.1	1
1775891910018353108	1663150465	0	1	10.0.1.1	1
1775891910018549421	1457921752	0	1	10.0.1.1	1
1775891910021017133	718654007	0	1	10.0.1.1	1
1775891910022512745	1198216880	0	1	10.0.1.1	1
1775891910023283144	159323232	0	5	10.0.1.5	1
1775891910024822638	830140310	0	1	10.0.1.1	1
1775891910030190190	2071054764	0	1	10.0.1.1	1
1775891910033393106	616493239	0	7	10.0.1.7	1
1775891910033931703	1294290138	0	1	10.0.1.1	1
1775891910034470125	1246247906	0	5	10.0.1.5	1
1775891910035791558	322924264	0	1	10.0.1.1	1
1775891910039307809	175024177	0	1	10.0.1.1	1
1775891910046132139	1227623388	0	5	10.0.1.5	1
1775891910048666332	1384410699	0	8	10.0.1.8	1
1775891910052878352	1275776695	0	4	10.0.1.4	1
1775891910054573683	1798253807	0	5	10.0.1.5	1
1775891910055847533	2109656975	0	5	10.0.1.5	1
1775891910058671513	181095426	0	5	10.0.1.5	1
1775891910066428824	2128126288	0	5	10.0.1.5	1
1775891910068853636	1309547148	0	5	10.0.1.5	1
1775891910072543850	967491023	0	4	10.0.1.4	1
1775891910078211088	1971254253	0	7	10.0.1.7	1
1775891910080379171	708005517	0	5	10.0.1.5	1
1775891910089113378	1354818608	0	8	10.0.1.8	1
1775891910091374099	541156829	0	7	10.0.1.7	1
1775891910098792553	1425096149	0	8	10.0.1.8	1
1775891910101685040	755790162	0	2	10.0.1.2	1
1775891910134160276	112454088	0	6	10.0.1.6	1
1775891910136908316	1828724620	0	6	10.0.1.6	1
1775891910499754850	991584437	1	1	10.0.1.1	1
1775891910500604252	80760956	1	1	10.0.1.1	1
1775891910500942976	791857963	1	1	10.0.1.1	1
1775891910501777844	2098882933	1	1	10.0.1.1	1
1775891910502469148	193910269	1	1	10.0.1.1	1
1775891910502948902	825669839	1	1	10.0.1.1	1
1775891910503380535	2049196483	1	1	10.0.1.1	1
1775891910504140083	1586820853	1	1	10.0.1.1	1
1775891910504648005	88095607	1	1	10.0.1.1	1
1775891910505234817	1952169918	1	1	10.0.1.1	1
1775891910505845414	404241178	1	1	10.0.1.1	1
1775891910506421225	1299240137	1	1	10.0.1.1	1
1775891910506855695	1076678090	1	1	10.0.1.1	1
1775891910507431812	2056693114	1	1	10.0.1.1	1
1775891910508121923	1741537965	1	1	10.0.1.1	1
1775891910509420140	1387547364	1	1	10.0.1.1	1
1775891910509850736	84057081	1	1	10.0.1.1	1
1775891910510338748	1519606039	1	1	10.0.1.1	1
1775891910510658519	1125428655	1	1	10.0.1.1	1
1775891910511320160	781464915	1	1	10.0.1.1	1
1775891910512016338	831970736	1	1	10.0.1.1	1
1775891910512648631	1663150465	1	1	10.0.1.1	1
1775891910513303895	1457921752	1	1	10.0.1.1	1
1775891910514569471	718654007	1	1	10.0.1.1	1
1775891910515343817	1198216880	1	1	10.0.1.1	1
1775891910516001353	830140310	1	1	10.0.1.1	1
1775891910517007848	2071054764	1	1	10.0.1.1	1
1775891910517800259	1294290138	1	1	10.0.1.1	1
1775891910518222986	322924264	1	1	10.0.1.1	1
1775891910518702674	175024177	1	1	10.0.1.1	1
1775891910529727260	159323232	1	5	10.0.1.5	1
1775891910534052748	1246247906	1	5	10.0.1.5	1
1775891910536104128	1227623388	1	5	10.0.1.5	1
1775891910539072643	1798253807	1	5	10.0.1.5	1
1775891910540106088	2109656975	1	5	10.0.1.5	1
1775891910541123482	181095426	1	5	10.0.1.5	1
1775891910545418394	2128126288	1	5	10.0.1.5	1
1775891910546882340	1309547148	1	5	10.0.1.5	1
1775891910553176808	708005517	1	5	10.0.1.5	1
1775891910559060779	1384410699	1	8	10.0.1.8	1
1775891910562669728	616493239	1	7	10.0.1.7	1
1775891910570380849	1275776695	1	4	10.0.1.4	1
1775891910584054447	967491023	1	4	10.0.1.4	1
1775891910589100187	1354818608	1	8	10.0.1.8	1
1775891910590875335	541156829	1	8	10.0.1.8	1
1775891910592301379	1971254253	1	7	10.0.1.7	1
1775891910597479987	1425096149	1	8	10.0.1.8	1
1775891910610024739	755790162	1	2	10.0.1.2	1
1775891910653305052	112454088	1	6	10.0.1.6	1
1775891910662230395	1828724620	1	6	10.0.1.6	1
1775891911049820735	991584437	2	1	10.0.1.1	1
1775891911050473294	80760956	2	1	10.0.1.1	1
1775891911051012762	791857963	2	1	10.0.1.1	1
1775891911051659569	2098882933	2	1	10.0.1.1	1
1775891911052178247	193910269	2	1	10.0.1.1	1
1775891911052510773	825669839	2	1	10.0.1.1	1
1775891911053000202	2049196483	2	1	10.0.1.1	1
1775891911053531338	1586820853	2	1	10.0.1.1	1
1775891911054190846	88095607	2	1	10.0.1.1	1
1775891911054887747	1952169918	2	1	10.0.1.1	1
1775891911055487079	404241178	2	1	10.0.1.1	1
1775891911056384384	1299240137	2	1	10.0.1.1	1
1775891911056765023	1076678090	2	1	10.0.1.1	1
1775891911057310085	2056693114	2	1	10.0.1.1	1
1775891911058129959	1741537965	2	1	10.0.1.1	1
1775891911059248741	1387547364	2	1	10.0.1.1	1
1775891911059687471	84057081	2	1	10.0.1.1	1
1775891911060137850	1519606039	2	1	10.0.1.1	1
1775891911060408521	1125428655	2	1	10.0.1.1	1
1775891911061024271	781464915	2	1	10.0.1.1	1
1775891911061766947	831970736	2	1	10.0.1.1	1
1775891911062272494	1663150465	2	1	10.0.1.1	1
1775891911063096175	1457921752	2	1	10.0.1.1	1
1775891911064419316	718654007	2	1	10.0.1.1	1
1775891911069079640	1198216880	2	1	10.0.1.1	1
1775891911071727195	830140310	2	1	10.0.1.1	1
1775891911075066542	2071054764	2	1	10.0.1.1	1
1775891911075623179	1294290138	2	1	10.0.1.1	1
1775891911075905162	322924264	2	1	10.0.1.1	1
1775891911079628359	175024177	2	1	10.0.1.1	1
1775891911080177553	159323232	2	5	10.0.1.5	1
1775891911085274923	1246247906	2	5	10.0.1.5	1
1775891911086869845	1227623388	2	5	10.0.1.5	1
1775891911089431184	1798253807	2	5	10.0.1.5	1
1775891911089789579	2109656975	2	5	10.0.1.5	1
1775891911090465128	181095426	2	5	10.0.1.5	1
1775891911092617286	2128126288	2	5	10.0.1.5	1
1775891911093331592	1309547148	2	5	10.0.1.5	1
1775891911096394651	708005517	2	5	10.0.1.5	1
1775891911099696096	1384410699	2	8	10.0.1.8	1
1775891911110515664	1354818608	2	8	10.0.1.8	1
1775891911111091207	541156829	2	8	10.0.1.8	1
1775891911113406587	1425096149	2	8	10.0.1.8	1
1775891911116716256	616493239	2	7	10.0.1.7	1
1775891911118187096	1275776695	2	4	10.0.1.4	1
1775891911127920109	967491023	2	4	10.0.1.4	1
1775891911134376950	1971254253	2	7	10.0.1.7	1
1775891911152014098	755790162	2	2	10.0.1.2	1
1775891911194610037	112454088	2	6	10.0.1.6	1
1775891911198465422	1828724620	2	6	10.0.1.6	1
1775891911597223293	991584437	3	1	10.0.1.1	1
1775891911597587841	80760956	3	1	10.0.1.1	1
1775891911597835615	791857963	3	1	10.0.1.1	1
1775891911598274725	2098882933	3	1	10.0.1.1	1
1775891911598446760	193910269	3	1	10.0.1.1	1
1775891911598651354	825669839	3	1	10.0.1.1	1
1775891911599150031	2049196483	3	1	10.0.1.1	1
1775891911599324224	1586820853	3	1	10.0.1.1	1
1775891911599963150	88095607	3	1	10.0.1.1	1
1775891911600180342	1952169918	3	1	10.0.1.1	1
1775891911600365118	404241178	3	1	10.0.1.1	1
1775891911600552425	1299240137	3	1	10.0.1.1	1
1775891911600742391	1076678090	3	1	10.0.1.1	1
1775891911607797951	2056693114	3	1	10.0.1.1	1
1775891911608276661	1741537965	3	1	10.0.1.1	1
1775891911608712267	1387547364	3	1	10.0.1.1	1
1775891911608961796	84057081	3	1	10.0.1.1	1
1775891911609373556	1519606039	3	1	10.0.1.1	1
1775891911609573968	1125428655	3	1	10.0.1.1	1
1775891911612817676	781464915	3	1	10.0.1.1	1
1775891911613008705	831970736	3	1	10.0.1.1	1
1775891911613443123	1663150465	3	1	10.0.1.1	1
1775891911613846654	1457921752	3	1	10.0.1.1	1
1775891911614035035	718654007	3	1	10.0.1.1	1
1775891911614216102	1198216880	3	1	10.0.1.1	1
1775891911614424132	830140310	3	1	10.0.1.1	1
1775891911614618792	2071054764	3	1	10.0.1.1	1
1775891911615377912	1294290138	3	1	10.0.1.1	1
1775891911615739334	322924264	3	1	10.0.1.1	1
1775891911615991249	175024177	3	1	10.0.1.1	1
1775891911616200217	159323232	3	5	10.0.1.5	1
1775891911620133237	1246247906	3	5	10.0.1.5	1
1775891911621823939	1227623388	3	5	10.0.1.5	1
1775891911624005637	1798253807	3	5	10.0.1.5	1
1775891911624475272	2109656975	3	5	10.0.1.5	1
1775891911624858373	181095426	3	5	10.0.1.5	1
1775891911626963311	2128126288	3	5	10.0.1.5	1
1775891911627801080	1309547148	3	5	10.0.1.5	1
1775891911630820132	708005517	3	5	10.0.1.5	1
1775891911636862440	1384410699	3	8	10.0.1.8	1
1775891911649738008	616493239	3	7	10.0.1.7	1
1775891911654109792	1354818608	3	8	10.0.1.8	1
1775891911656418629	541156829	3	8	10.0.1.8	1
1775891911662743390	1425096149	3	8	10.0.1.8	1
1775891911666455925	1275776695	3	4	10.0.1.4	1
1775891911668639278	1971254253	3	7	10.0.1.7	1
1775891911676433948	967491023	3	4	10.0.1.4	1
1775891911701082695	755790162	3	2	10.0.1.2	1
1775891911754104888	112454088	3	6	10.0.1.6	1
1775891911757977004	1828724620	3	6	10.0.1.6	1
1775891912126867819	991584437	4	1	10.0.1.1	1
1775891912127326774	80760956	4	1	10.0.1.1	1
1775891912127655711	791857963	4	1	10.0.1.1	1
1775891912129836599	2098882933	4	1	10.0.1.1	1
1775891912130524840	193910269	4	1	10.0.1.1	1
