timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1775891979899895556	3117961289	0	3	10.0.1.3	2
1775891979900421607	2269654108	0	3	10.0.1.3	2
1775891979900740428	4003446464	0	3	10.0.1.3	2
1775891979907771955	3984212180	0	3	10.0.1.3	2
1775891979909744563	3236403498	0	3	10.0.1.3	2
1775891979910051495	3141149368	0	3	10.0.1.3	2
1775891979923491366	3847899422	0	3	10.0.1.3	2
1775891979929325903	3113279414	0	3	10.0.1.3	2
1775891979930418695	3886550085	0	3	10.0.1.3	2
1775891979934902839	2837957120	0	3	10.0.1.3	2
1775891979935319944	3168889203	0	3	10.0.1.3	2
1775891979935939471	2471455333	0	3	10.0.1.3	2
1775891979937104457	2280356416	0	3	10.0.1.3	2
1775891979938774994	2369752238	0	3	10.0.1.3	2
1775891979940985665	4078343812	0	3	10.0.1.3	2
1775891979955513544	3091134761	0	3	10.0.1.3	2
1775891979956552454	3933538566	0	6	10.0.1.6	2
1775891979958779918	2312262218	0	4	10.0.1.4	2
1775891979960257814	3270076500	0	3	10.0.1.3	2
1775891979964341993	3468204099	0	4	10.0.1.4	2
1775891979965799603	3025309237	0	3	10.0.1.3	2
1775891979973766311	4071364364	0	4	10.0.1.4	2
1775891979977412114	2814079429	0	8	10.0.1.8	2
1775891979980826187	3337868983	0	2	10.0.1.2	2
1775891979981459115	2757684640	0	3	10.0.1.3	2
1775891979984472682	3547293933	0	4	10.0.1.4	2
1775891979986414305	3701689832	0	3	10.0.1.3	2
1775891979994165124	2863373181	0	3	10.0.1.3	2
1775891979996658512	3398907230	0	3	10.0.1.3	2
1775891980002387259	2451198781	0	3	10.0.1.3	2
1775891980005821736	3681464620	0	6	10.0.1.6	2
1775891980008152850	3087562378	0	6	10.0.1.6	2
1775891980014907455	2488388541	0	6	10.0.1.6	2
1775891980018930089	2518051094	0	4	10.0.1.4	2
1775891980020163055	2948177184	0	6	10.0.1.6	2
1775891980024485445	2885010649	0	8	10.0.1.8	2
1775891980027728240	3842335575	0	6	10.0.1.6	2
1775891980029759733	3537561314	0	6	10.0.1.6	2
1775891980030205488	2679509244	0	8	10.0.1.8	2
1775891980031899175	2289028283	0	6	10.0.1.6	2
1775891980037158619	2754992992	0	4	10.0.1.4	2
1775891980037894503	3604292198	0	6	10.0.1.6	2
1775891980039070785	2874121562	0	4	10.0.1.4	2
1775891980041220086	3431433774	0	4	10.0.1.4	2
1775891980045249766	2350433618	0	4	10.0.1.4	2
1775891980048026523	3557444274	0	6	10.0.1.6	2
1775891980051890219	4022837452	0	6	10.0.1.6	2
1775891980054994455	4093839775	0	4	10.0.1.4	2
1775891980089730047	3236981317	0	1	10.0.1.1	2
1775891980102224495	3230994382	0	1	10.0.1.1	2
1775891980439927617	3117961289	1	3	10.0.1.3	2
1775891980441137615	2269654108	1	3	10.0.1.3	2
1775891980449154433	4003446464	1	3	10.0.1.3	2
1775891980453120487	3984212180	1	3	10.0.1.3	2
1775891980454434717	3236403498	1	3	10.0.1.3	2
1775891980455453332	3141149368	1	3	10.0.1.3	2
1775891980457984136	3847899422	1	3	10.0.1.3	2
1775891980460137301	3113279414	1	3	10.0.1.3	2
1775891980462421257	3886550085	1	3	10.0.1.3	2
1775891980463904099	2837957120	1	3	10.0.1.3	2
1775891980465777584	3168889203	1	3	10.0.1.3	2
1775891980469038213	2471455333	1	3	10.0.1.3	2
1775891980469847326	2312262218	1	4	10.0.1.4	2
1775891980473254490	2280356416	1	3	10.0.1.3	2
1775891980476402974	3468204099	1	4	10.0.1.4	2
1775891980477400738	2369752238	1	3	10.0.1.3	2
1775891980479130295	3933538566	1	6	10.0.1.6	2
1775891980483499095	4078343812	1	3	10.0.1.3	2
1775891980487721504	4071364364	1	4	10.0.1.4	2
1775891980492842219	3091134761	1	3	10.0.1.3	2
1775891980493566454	3547293933	1	4	10.0.1.4	2
1775891980495911829	3270076500	1	3	10.0.1.3	2
1775891980499737525	3025309237	1	3	10.0.1.3	2
1775891980507712601	3681464620	1	4	10.0.1.4	2
1775891980508983538	2757684640	1	3	10.0.1.3	2
1775891980511225191	3701689832	1	3	10.0.1.3	2
1775891980511665976	2518051094	1	4	10.0.1.4	2
1775891980512022930	3087562378	1	6	10.0.1.6	2
1775891980514796832	2863373181	1	3	10.0.1.3	2
1775891980515620630	2488388541	1	6	10.0.1.6	2
1775891980516145164	3398907230	1	3	10.0.1.3	2
1775891980518207669	2948177184	1	6	10.0.1.6	2
1775891980518668065	2451198781	1	3	10.0.1.3	2
1775891980521378811	2754992992	1	4	10.0.1.4	2
1775891980521783117	3842335575	1	6	10.0.1.6	2
1775891980522149496	2874121562	1	4	10.0.1.4	2
1775891980522803632	3537561314	1	6	10.0.1.6	2
1775891980523153373	3431433774	1	4	10.0.1.4	2
1775891980523605954	2289028283	1	6	10.0.1.6	2
1775891980524662851	2350433618	1	4	10.0.1.4	2
1775891980525374462	3604292198	1	4	10.0.1.4	2
1775891980527873846	3557444274	1	4	10.0.1.4	2
1775891980528649926	4093839775	1	4	10.0.1.4	2
1775891980531410730	4022837452	1	6	10.0.1.6	2
1775891980533443392	2814079429	1	8	10.0.1.8	2
1775891980543942302	2885010649	1	8	10.0.1.8	2
1775891980546147293	2679509244	1	8	10.0.1.8	2
1775891980549681053	3337868983	1	2	10.0.1.2	2
1775891980615730667	3236981317	1	1	10.0.1.1	2
1775891980632009212	3230994382	1	1	10.0.1.1	2
1775891980983636453	3117961289	2	3	10.0.1.3	2
1775891980988818012	2269654108	2	3	10.0.1.3	2
1775891980993853825	4003446464	2	3	10.0.1.3	2
1775891980994720059	3984212180	2	3	10.0.1.3	2
1775891980996754487	3236403498	2	3	10.0.1.3	2
1775891980997364921	3141149368	2	3	10.0.1.3	2
1775891980999415477	3847899422	2	3	10.0.1.3	2
1775891981001004000	3113279414	2	3	10.0.1.3	2
1775891981002631921	3886550085	2	3	10.0.1.3	2
1775891981003723914	2837957120	2	3	10.0.1.3	2
1775891981004812699	3168889203	2	3	10.0.1.3	2
1775891981006555697	2471455333	2	3	10.0.1.3	2
1775891981008398520	2280356416	2	3	10.0.1.3	2
1775891981008763356	2312262218	2	4	10.0.1.4	2
1775891981010140465	2369752238	2	3	10.0.1.3	2
1775891981011592471	3468204099	2	4	10.0.1.4	2
1775891981011989361	4078343812	2	3	10.0.1.3	2
