timestamp_ns	dev_addr	fcnt	gw_id	src_ip	tenant_id
1776137133162491924	3276954995	0	2	10.0.1.2	2
1776137133165183968	3128729228	0	2	10.0.1.2	2
1776137133172595879	3027906024	0	2	10.0.1.2	2
1776137133185469531	3155707033	0	2	10.0.1.2	2
1776137133186498843	4228832593	0	2	10.0.1.2	2
1776137133187287940	2874538361	0	2	10.0.1.2	2
1776137133190039817	3542997242	0	2	10.0.1.2	2
1776137133192302804	2963547610	0	2	10.0.1.2	2
1776137133196065024	2224576380	0	2	10.0.1.2	2
1776137133198443545	4125163832	0	2	10.0.1.2	2
1776137133199435835	2478971848	0	10	10.0.1.10	2
1776137133200516377	3079430277	0	2	10.0.1.2	2
1776137133205420394	3976635696	0	10	10.0.1.10	2
1776137133208395093	3977872721	0	10	10.0.1.10	2
1776137133209611950	3508446744	0	2	10.0.1.2	2
1776137133211162438	3992906944	0	10	10.0.1.10	2
1776137133211793100	3100276082	0	2	10.0.1.2	2
1776137133212721809	4020911913	0	10	10.0.1.10	2
1776137133213176834	3690917561	0	8	10.0.1.8	2
1776137133214156727	4087572061	0	2	10.0.1.2	2
1776137133214969562	2294416087	0	10	10.0.1.10	2
1776137133215518292	4289439510	0	8	10.0.1.8	2
1776137133216705124	3751152209	0	8	10.0.1.8	2
1776137133217463900	2777486158	0	2	10.0.1.2	2
1776137133218680649	3849406260	0	2	10.0.1.2	2
1776137133220286352	4021333295	0	8	10.0.1.8	2
1776137133225023345	2695793574	0	2	10.0.1.2	2
1776137133227048504	3857188730	0	10	10.0.1.10	2
1776137133230831424	2952448758	0	10	10.0.1.10	2
1776137133232590855	3553615832	0	9	10.0.1.9	2
1776137133237456623	3778286624	0	3	10.0.1.3	2
1776137133238273176	2512520756	0	8	10.0.1.8	2
1776137133240289005	2317066885	0	8	10.0.1.8	2
1776137133243071256	2692895835	0	10	10.0.1.10	2
1776137133244587902	2827508298	0	9	10.0.1.9	2
1776137133253223697	3637839798	0	7	10.0.1.7	2
1776137133253585590	3502891610	0	9	10.0.1.9	2
1776137133256113335	3362804910	0	3	10.0.1.3	2
1776137133256833697	2358888647	0	9	10.0.1.9	2
1776137133259382342	4107769039	0	3	10.0.1.3	2
1776137133259817942	2664661692	0	7	10.0.1.7	2
1776137133260872238	3137795550	0	7	10.0.1.7	2
1776137133265258285	2454826618	0	9	10.0.1.9	2
1776137133267133232	3698919954	0	5	10.0.1.5	2
1776137133276313109	2246248500	0	5	10.0.1.5	2
1776137133277324174	2460092401	0	5	10.0.1.5	2
1776137133280260621	4017597448	0	5	10.0.1.5	2
1776137133283489677	3478301526	0	5	10.0.1.5	2
1776137133304285310	3635055455	0	6	10.0.1.6	2
1776137133312534613	3276954995	1	2	10.0.1.2	2
1776137133313646767	3128729228	1	2	10.0.1.2	2
1776137133313935084	3027906024	1	2	10.0.1.2	2
1776137133316368253	3155707033	1	2	10.0.1.2	2
1776137133316729671	4228832593	1	2	10.0.1.2	2
1776137133317068272	2874538361	1	2	10.0.1.2	2
1776137133317478838	3542997242	1	2	10.0.1.2	2
1776137133318311116	2963547610	1	2	10.0.1.2	2
1776137133319804987	2224576380	1	2	10.0.1.2	2
1776137133320681964	4125163832	1	2	10.0.1.2	2
1776137133321154238	3079430277	1	2	10.0.1.2	2
1776137133322500963	3508446744	1	2	10.0.1.2	2
1776137133323001178	3100276082	1	2	10.0.1.2	2
1776137133323876881	4087572061	1	2	10.0.1.2	2
1776137133325195507	2777486158	1	2	10.0.1.2	2
1776137133325685391	3849406260	1	2	10.0.1.2	2
1776137133327396074	2695793574	1	2	10.0.1.2	2
1776137133337207651	2478971848	1	10	10.0.1.10	2
1776137133339673758	3976635696	1	10	10.0.1.10	2
1776137133341243884	3288154638	0	4	10.0.1.4	2
1776137133341868483	3977872721	1	10	10.0.1.10	2
1776137133342837370	3992906944	1	10	10.0.1.10	2
1776137133344139800	4020911913	1	10	10.0.1.10	2
1776137133346941748	2294416087	1	10	10.0.1.10	2
1776137133350246135	3857188730	1	10	10.0.1.10	2
1776137133351217136	2952448758	1	10	10.0.1.10	2
1776137133353727418	2692895835	1	10	10.0.1.10	2
1776137133359510353	3690917561	1	8	10.0.1.8	2
1776137133361139442	4289439510	1	8	10.0.1.8	2
1776137133361548137	3751152209	1	8	10.0.1.8	2
1776137133361982943	3778286624	1	3	10.0.1.3	2
